  34.651  -86.543   186.0 em64rp kd4qio AL
starthere
  39.917  116.383     0.0 om89ew Beijing China
stophere
  -3.850  -32.417     0.0 hi36sd PP0-PY0 Fernando de Noronha,V.d.Remedios
  33.620 -117.927     0.0 dm13ao Newport Beach CA
  34.133 -118.417     0.0 dm04sd North Hollywood CA
  33.902 -118.080     0.0 dm03xv Norwalk CA
  37.801 -122.265     0.0 cm87ut Oakland CA
  33.198 -117.377     0.0 dm13he Oceanside CA
  34.062 -117.650     0.0 dm14eb Ontario CA
  33.787 -117.850     0.0 dm13bs Orange CA
  34.205 -119.175     0.0 dm04je Oxnard CA
  32.733 -117.167     0.0 dm12jr Pacific Beach CA
  37.442 -122.163     0.0 cm87wk Palo Alto CA
  34.146 -118.145     0.0 dm04wd Pasadena CA
  34.000 -118.083     0.0 dm03xx Pico Rivera CA
  34.062 -117.750     0.0 dm14cb Pomona CA
  33.827 -118.387     0.0 dm03tt Redondo Beach CA
  37.467 -122.250     0.0 cm87vl Redwood City CA
  34.200 -118.533     0.0 dm04re Reseda CA
  37.937 -122.347     0.0 cm87tw Richmond CA
  33.980 -117.365     0.0 dm13hx Riverside CA
  38.583 -121.495     0.0 cm98gn Sacramento CA
  36.670 -121.652     0.0 cm96eq Salinas CA
  34.108 -117.291     0.0 dm14ic San Bernardino CA
  32.715 -117.156     0.0 dm12kr San Diego CA
  37.778 -122.411     0.0 cm87ts San Francisco CA
  37.338 -121.890     0.0 cm97bi San Jose CA
  37.725 -122.155     0.0 cm87wr San Leandro CA
  37.563 -122.323     0.0 cm87un San Mateo CA
  37.593 -122.518     0.0 cm87ro San Pedro CA
  33.763 -117.865     0.0 dm13bs Santa Ana CA
  34.422 -119.699     0.0 dm04dk Santa Barbara CA
  37.345 -121.947     0.0 cm97ai Santa Clara CA
  34.013 -118.485     0.0 dm04sa Santa Monica CA
  38.440 -122.715     0.0 cm88pk Santa Rosa CA
  34.268 -118.778     0.0 dm04og Simi VAlley CA
